==== Logging ASAMI ====
t, Ws_t, Wa_t, gtDistance
0.000,0.000,0.000,1588.498
0.033,0.000,0.000,1575.283
0.067,0.000,0.000,1900.027
0.133,0.000,0.000,1710.165
0.167,0.000,0.000,1744.531
0.200,0.000,0.000,1767.830
0.233,0.000,0.000,1816.181
0.267,0.000,0.000,1688.886
0.300,0.000,0.000,1681.974
0.333,0.000,0.000,1620.464
0.400,0.000,0.000,1671.744
0.467,0.000,0.000,1871.105
0.500,0.000,0.000,1800.897
0.533,0.000,0.000,1769.054
0.600,0.000,0.000,1884.166
0.633,0.000,0.000,1691.411
0.667,0.000,0.000,1844.872
0.700,0.000,0.000,1826.780
0.733,0.000,0.000,1800.955
0.767,0.000,0.000,1689.983
0.800,0.000,0.000,1750.253
0.867,0.000,0.000,1738.521
0.900,0.000,0.000,1618.318
0.933,0.000,0.000,1774.186
0.967,0.000,0.000,1696.306
1.000,0.000,0.000,1846.972
1.033,0.000,0.000,1821.971
1.067,0.000,0.000,1855.684
1.167,0.000,0.000,1601.098
1.200,0.000,0.000,1554.104
1.233,0.000,0.000,1780.808
1.267,0.000,0.000,1614.495
1.367,0.000,0.000,1535.855
1.400,0.000,0.000,1743.539
1.467,0.000,0.000,1807.791
1.500,0.000,0.000,1555.978
1.567,0.000,0.000,1732.729
1.600,0.000,0.000,1774.487
1.633,0.000,0.000,1712.011
1.700,0.000,0.000,1632.200
1.767,0.000,0.000,1502.083
1.800,0.000,0.000,1795.651
1.867,0.000,0.000,1712.200
1.900,0.000,0.000,1501.393
1.933,0.000,0.000,1579.664
2.000,0.000,0.000,1668.189
2.067,0.000,0.000,1782.130
2.133,0.000,0.000,1710.279
2.200,0.000,0.000,1722.018
2.233,0.000,0.000,1516.567
2.267,0.000,0.000,1538.207
2.300,0.000,0.000,1593.934
2.333,0.000,0.000,1468.350
2.367,0.000,0.000,1608.845
2.433,0.000,0.000,1690.844
2.467,0.000,0.000,1545.807
2.533,0.000,0.000,1605.606
2.567,0.000,0.000,1483.560
2.633,0.000,0.000,1636.612
2.667,0.000,0.000,1602.693
2.700,0.000,0.000,1712.566
2.733,0.000,0.000,1610.146
2.867,0.000,0.000,1704.074
2.900,0.000,0.000,1586.380
2.933,0.000,0.000,1701.464
2.967,0.000,0.000,1420.625
3.000,0.000,0.000,1648.373
3.033,0.000,0.023,1630.980
3.100,0.000,0.137,1648.617
3.133,0.000,0.228,1467.465
3.167,0.000,0.342,1447.134
3.200,0.000,0.478,1633.819
3.233,0.000,0.638,1653.004
3.267,0.000,0.820,1462.883
3.300,0.000,1.025,1607.303
3.333,0.000,1.252,1649.014
3.367,0.000,1.503,1504.976
3.433,0.000,2.072,1389.925
3.500,0.000,2.732,1640.618
3.533,0.000,3.097,1482.888
3.567,0.000,3.484,1617.775
3.600,0.000,3.894,1346.388
3.633,0.000,4.326,1351.563
3.667,0.000,4.782,1561.786
3.700,0.000,5.260,1613.731
3.733,0.000,5.761,1612.308
3.800,0.000,6.831,1435.852
3.833,0.000,7.400,1450.766
3.867,0.000,7.992,1435.574
3.900,0.000,8.607,1566.435
3.967,0.000,9.905,1453.309
4.000,0.000,10.588,1552.779
4.100,0.000,12.774,1479.631
4.133,0.000,13.548,1370.728
4.200,0.000,15.164,1344.657
4.267,0.000,16.872,1503.777
4.400,0.000,20.561,1392.719
4.433,0.000,21.540,1503.649
4.467,0.000,22.542,1361.091
4.500,0.000,23.566,1261.435
4.633,0.000,27.892,1219.623
4.667,0.000,29.031,1325.380
4.700,0.000,30.192,1473.632
4.733,0.000,31.376,1455.509
4.867,0.000,36.340,1442.608
4.900,0.000,37.638,1238.846
4.933,0.000,38.958,1235.890
4.967,0.000,40.302,1217.490
5.000,0.000,41.668,1389.573
5.033,0.000,43.057,1346.139
5.100,0.000,45.903,1177.896
5.267,0.000,53.417,1282.071
5.300,0.000,54.988,1278.014
5.333,0.000,56.582,1255.134
5.367,0.000,58.198,1356.711
5.400,0.000,59.838,1309.661
5.433,0.000,61.500,1177.034
5.467,0.000,63.185,1191.353
5.500,0.000,64.893,1208.760
5.567,0.000,68.376,1309.660
5.633,0.000,71.951,1157.434
5.667,0.000,73.773,1090.649
5.767,0.000,79.374,1239.993
5.800,0.000,81.287,1174.179
5.833,0.000,83.222,1283.364
5.867,0.000,85.180,1280.526
5.900,0.000,87.161,1121.600
5.933,0.000,89.165,1161.487
6.000,0.000,93.240,1229.355
6.033,0.000,93.262,1111.515
6.100,0.000,93.371,1034.161
6.167,0.000,93.566,1160.997
6.200,0.000,93.696,1171.223
6.233,0.000,93.848,1215.911
6.300,0.000,94.217,1046.945
6.333,0.000,94.434,1140.903
6.367,0.000,94.673,1044.494
6.400,0.000,94.933,1185.506
6.433,0.000,95.215,1084.681
6.467,0.000,95.519,1032.021
6.500,0.000,95.845,1059.861
6.533,0.000,96.192,1143.282
6.567,0.000,96.561,1139.110
6.600,0.000,96.952,973.411
6.633,0.000,97.364,1021.950
6.700,0.000,98.254,1098.999
6.733,0.000,98.731,998.240
6.767,0.000,99.230,1064.357
6.800,0.000,99.751,1111.576
6.833,0.000,100.294,1043.784
6.867,0.000,100.858,1049.431
6.900,0.000,101.444,1020.392
6.933,0.000,102.052,929.868
6.967,0.000,102.681,969.595
7.033,0.000,104.005,967.517
7.100,0.000,105.415,948.508
7.133,0.000,106.153,1045.227
7.200,0.000,107.694,943.158
7.233,0.000,108.497,1001.831
7.267,0.000,109.322,931.117
7.333,0.000,111.036,998.766
