==== Logging ASAMI ====
t, Ws_t, Wa_t, gtDistance
0.033,0.000,0.000,1616.095
0.067,0.000,0.000,1603.516
0.100,0.000,0.000,1672.057
0.167,0.000,0.000,1740.045
0.200,0.000,0.000,1847.018
0.233,0.000,0.000,1852.609
0.267,0.000,0.000,1855.326
0.400,0.000,0.000,1757.707
0.433,0.000,0.000,1610.255
0.500,0.000,0.000,1738.892
0.533,0.000,0.000,1829.207
0.567,0.000,0.000,1563.495
0.600,0.000,0.000,1697.552
0.633,0.000,0.000,1704.797
0.667,0.000,0.000,1843.481
0.767,0.000,0.000,1829.129
0.833,0.000,0.000,1723.035
0.867,0.000,0.000,1631.209
0.900,0.000,0.000,1885.036
0.933,0.000,0.000,1752.863
1.033,0.000,0.000,1856.013
1.133,0.000,0.000,1674.440
1.167,0.000,0.000,1821.718
1.200,0.000,0.000,1862.139
1.267,0.000,0.000,1694.975
1.300,0.000,0.000,1803.281
1.400,0.000,0.000,1681.342
1.467,0.000,0.000,1735.165
1.533,0.000,0.000,1613.447
1.567,0.000,0.000,1786.626
1.667,0.000,0.000,1669.585
1.733,0.000,0.000,1570.820
1.767,0.000,0.000,1527.727
1.833,0.000,0.000,1793.274
1.867,0.000,0.000,1804.502
1.900,0.000,0.000,1575.760
1.933,0.000,0.000,1514.865
1.967,0.000,0.000,1508.315
2.000,0.000,0.000,1656.080
2.033,0.000,0.000,1737.951
2.067,0.000,0.000,1484.985
2.167,0.000,0.000,1793.326
2.200,0.000,0.000,1750.583
2.233,0.000,0.000,1611.488
2.267,0.000,0.000,1631.347
2.300,0.000,0.000,1471.256
2.333,0.000,0.000,1502.990
2.367,0.000,0.000,1589.963
2.400,0.000,0.000,1648.467
2.467,0.000,0.000,1609.589
2.500,0.000,0.000,1629.154
2.533,0.000,0.000,1489.118
2.567,0.000,0.000,1487.432
2.600,0.000,0.000,1510.982
2.633,0.000,0.000,1638.866
2.700,0.000,0.000,1531.701
2.767,0.000,0.000,1689.406
2.800,0.000,0.000,1584.199
2.833,0.000,0.000,1557.264
2.867,0.000,0.000,1619.822
2.900,0.000,0.000,1727.598
2.933,0.000,0.000,1651.600
2.967,0.000,0.000,1519.432
3.000,0.000,0.000,1465.657
3.033,0.000,0.019,1574.757
3.067,0.000,0.057,1528.987
3.100,0.000,0.114,1692.944
3.200,0.000,0.399,1497.008
3.267,0.000,0.684,1562.296
3.300,0.000,0.855,1579.227
3.367,0.000,1.254,1572.486
3.433,0.000,1.729,1395.352
3.467,0.000,1.995,1536.348
3.500,0.000,2.280,1543.721
3.567,0.000,2.907,1447.177
3.600,0.000,3.248,1550.604
3.633,0.000,3.609,1473.161
3.667,0.000,3.989,1505.850
3.700,0.000,4.388,1531.653
3.733,0.000,4.806,1504.286
3.767,0.000,5.243,1444.924
3.800,0.000,5.699,1594.637
3.833,0.000,6.174,1416.773
3.867,0.000,6.668,1534.578
3.900,0.000,7.181,1602.587
3.933,0.000,7.713,1556.882
3.967,0.000,8.264,1562.337
4.067,0.000,10.030,1333.512
4.100,0.000,10.657,1421.699
4.167,0.000,11.968,1387.335
4.200,0.000,12.652,1405.653
4.233,0.000,13.355,1312.864
4.267,0.000,14.077,1423.439
4.333,0.000,15.578,1425.123
4.400,0.000,17.154,1433.661
4.533,0.000,20.536,1271.274
4.567,0.000,21.429,1441.731
4.633,0.000,23.271,1423.946
4.700,0.000,25.190,1424.165
4.733,0.000,26.178,1438.598
4.767,0.000,27.185,1390.836
4.833,0.000,29.255,1276.376
4.867,0.000,30.319,1483.468
4.900,0.000,31.402,1327.928
5.000,0.000,34.764,1433.963
5.033,0.000,35.923,1354.155
5.067,0.000,37.101,1371.515
5.133,0.000,39.514,1372.610
5.200,0.000,42.002,1237.877
5.233,0.000,43.275,1267.018
5.267,0.000,44.567,1334.059
5.333,0.000,47.207,1198.575
5.367,0.000,48.556,1301.393
5.433,0.000,51.311,1251.284
5.467,0.000,52.717,1170.353
5.500,0.000,54.141,1320.108
5.567,0.000,57.048,1321.096
5.633,0.000,60.030,1180.116
5.667,0.000,61.550,1133.318
5.700,0.000,63.089,1261.185
5.767,0.000,66.223,1295.446
5.800,0.000,67.819,1228.288
5.900,0.000,72.720,1290.404
5.967,0.000,76.083,1171.827
6.067,0.000,77.825,1260.226
6.100,0.000,77.857,1290.221
6.167,0.000,77.953,1259.549
6.200,0.000,78.016,1138.809
6.233,0.000,78.091,1117.309
6.267,0.000,78.176,1231.008
6.333,0.000,78.379,1215.497
6.367,0.000,78.496,1190.351
6.400,0.000,78.624,1068.254
6.467,0.000,78.912,1103.924
6.500,0.000,79.072,1118.415
6.533,0.000,79.243,1160.048
6.567,0.000,79.424,1061.830
6.600,0.000,79.616,1195.391
6.633,0.000,79.819,1051.887
6.667,0.000,80.032,1161.577
6.733,0.000,80.491,1062.272
6.767,0.000,80.736,1115.395
6.800,0.000,80.992,1177.368
6.833,0.000,81.258,1175.671
6.900,0.000,81.824,1161.983
6.967,0.000,82.431,1132.266
7.000,0.000,82.751,1204.321
7.067,0.000,83.423,1134.615
7.133,0.000,84.138,1005.066
7.233,0.000,85.289,1104.337
7.300,0.000,86.111,1067.495
7.333,0.000,86.537,958.536
7.367,0.000,86.974,1156.987
7.400,0.000,87.422,996.179
7.433,0.000,87.881,1033.238
7.467,0.000,88.350,1124.751
7.567,0.000,89.822,1125.468
7.600,0.000,90.334,1034.243
7.633,0.000,90.856,1032.367
7.667,0.000,91.389,930.590
7.700,0.000,91.933,1126.387
7.767,0.000,93.053,962.351
7.800,0.000,93.629,920.441
7.833,0.000,94.215,1024.143
7.867,0.000,94.813,986.951
7.933,0.000,96.039,971.499
7.967,0.000,96.668,1011.259
8.000,0.000,97.308,1042.570
8.033,0.000,97.959,989.398
8.067,0.000,98.620,1027.937
8.100,0.000,99.292,1071.666
8.133,0.000,99.974,989.485
8.167,0.000,100.667,1053.250
8.233,0.000,102.086,924.513
8.267,0.000,102.811,1039.499
8.300,0.000,103.547,1052.352
8.367,0.000,105.050,940.477
8.400,0.000,105.818,1024.940
8.467,0.000,107.386,1006.944
8.533,0.000,108.996,886.525
8.567,0.000,109.817,903.795
8.633,0.000,111.491,923.016
8.667,0.000,112.345,976.429
8.700,0.000,113.208,935.240
8.733,0.000,114.083,987.845
8.767,0.000,114.968,922.168
8.800,0.000,115.864,920.721
8.833,0.000,116.770,1017.763
8.867,0.000,117.687,917.751
8.900,0.000,118.615,917.529
8.933,0.000,119.553,1005.866
9.000,0.000,121.462,842.724
9.067,0.000,121.510,993.439
9.100,0.000,121.558,915.740
9.133,0.000,121.622,937.696
9.167,0.000,121.702,891.341
9.233,0.000,121.910,986.417
9.267,0.000,122.037,959.453
9.300,0.000,122.181,923.457
9.333,0.000,122.341,915.191
9.367,0.000,122.517,804.193
9.400,0.000,122.708,895.619
9.433,0.000,122.916,826.829
9.467,0.000,123.139,882.184
9.500,0.000,123.379,830.322
9.600,0.000,124.194,946.374
9.700,0.000,125.152,814.902
9.733,0.000,125.503,865.922
9.767,0.000,125.871,831.386
9.800,0.000,126.254,895.676
9.833,0.000,126.653,892.804
9.900,0.000,127.500,822.557
9.933,0.000,127.947,808.257
9.967,0.000,128.410,770.034
10.133,0.000,130.965,785.978
10.200,0.000,132.099,744.678
10.300,0.000,133.920,790.479
10.333,0.000,134.559,782.948
10.367,0.000,135.214,756.643
10.400,0.000,135.885,819.889
10.433,0.000,136.571,777.985
10.467,0.000,137.274,778.648
10.533,0.000,138.728,700.839
10.567,0.000,139.478,721.413
10.600,0.000,140.245,706.410
10.667,0.000,141.826,811.257
10.733,0.000,143.471,752.103
10.767,0.000,144.318,686.017
10.800,0.000,145.180,774.166
10.833,0.000,146.059,686.136
10.867,0.000,146.953,758.115
10.933,0.000,148.790,708.459
10.967,0.000,149.732,763.652
11.000,0.000,150.690,663.422
11.067,0.000,152.655,695.992
11.100,0.000,153.661,676.830
11.133,0.000,154.683,678.146
11.167,0.000,155.721,644.876
11.267,0.000,158.932,733.912
11.300,0.000,160.034,679.408
11.333,0.000,161.152,712.579
11.400,0.000,163.436,624.219
